SL NO,REGION,DISRTICT NAME,ULB NAME,ULB CODE,GRADE,AREA IN SQKM,HOUSE HOLD,POPULATION (2011 CEN),"ASSESSMENTS AS ON DATE 
 10-04-25","NAKSHA PROJECT AREA FOR FIELD SURVEY 
 (SQ KM)"
1,VISAKHAPATNAM,SRIKAKULAM,AMUDALAVALASA,1082,II,27.85,10133,39799,11966,
2,VISAKHAPATNAM,VIZIANAGARAM,BOBBILI,1090,II,25.98,14437,56819,14382,
3,VISAKHAPATNAM,SRIKAKULAM,ICCHAPURAM,1083,III,21.6,10354,36493,8893,
4,VISAKHAPATNAM,VIZIANAGARAM,NELLIMARLA,1135,NP,17.75,6100,26259,6699,
5,VISAKHAPATNAM,PARVATHIPURAM MANYAM,PALAKONDA,1134,NP,11.09,6402,31572,8075,
6,VISAKHAPATNAM,PARVATHIPURAM MANYAM,SALURU,1092,II,20.3,12425,49500,12774,
7,VISAKHAPATNAM,VIZIANAGARAM,VIZIANAGARAM,1093,Corp,52.84,61925,244598,73263,
8,VISAKHAPATNAM,VISAKHAPATNAM,VISAKHAPATNAM,1086,Corp,615.79,629814,1881686,633879,
9,VISAKHAPATNAM,VIZIANAGARAM,RAJAM,1133,III,26.68,11158,42197,12480,
10,VISAKHAPATNAM,SRIKAKULAM,SRIKAKULAM,1085,Corp,53.23,31752,166533,45304,
11,VISAKHAPATNAM,SRIKAKULAM,PALASA KASIBUGGA,1084,II,31.61,14197,57507,19126,
12,VISAKHAPATNAM,ANAKAPALLI,ELAMANCHILI,1137,III,46.43,12037,46159,10917,
13,VISAKHAPATNAM,ANAKAPALLI,NARSIPATNAM,1136,III,34.26,16168,61540,15526,
14,VISAKHAPATNAM,PARVATHIPURAM MANYAM,PARVATHIPURAM,1091,I,13.28,13010,53844,14205,
15,RAJAHMANDRY,KONASEEMA,AMALAPURAM,1059,I,7.28,14123,53231,17296,
16,RAJAHMANDRY,EAST GODAVARI,KOVVUR,1076,III,17.96,10761,39667,12844,
17,RAJAHMANDRY,KRISHNA,MACHILIPATNAM,1070,Corp,25.09,45569,169892,52570,
18,RAJAHMANDRY,KONASEEMA,MANDAPETA,1061,II,21.5,15333,53633,15465,
19,RAJAHMANDRY,NTR,NANDIGAMA,1145,NP,31.86,11575,44359,13754,
20,RAJAHMANDRY,WEST GODAVARI,NARSAPURAM,1077,I,11.9,15591,58770,16802,
21,RAJAHMANDRY,EAST GODAVARI,NIDADAVOLE,1078,II,14.4,10873,43809,12718,
22,RAJAHMANDRY,ELURU,NUZIVIDU,1071,II,29.77,13921,58590,15315,
23,RAJAHMANDRY,WEST GODAVARI,PALAKOLLU,1079,I,4.79,16752,98357,17817,
24,RAJAHMANDRY,KRISHNA,PEDANA,1072,III,12.96,8700,30721,7874,
25,RAJAHMANDRY,KONASEEMA,RAMCHANDRAPURAM,1065,II,14.01,12641,43657,13682,
26,RAJAHMANDRY,KAKINADA,SAMARLAKOTA,1066,II,39.49,16044,56864,17012,
27,RAJAHMANDRY,NTR,TIRUVURU,1146,NP,27.91,9100,34623,9700,
28,RAJAHMANDRY,NTR,VIJAYAWADA,1073,Corp,62.17,302001,1034358,236394,
29,RAJAHMANDRY,KRISHNA,VUYYURU,1144,NP,11.74,11745,46490,10591,
30,RAJAHMANDRY,WEST GODAVARI,AKIVIDU,1188,NP,22.58,6126,32412,8216,
31,RAJAHMANDRY,ELURU,CHINTALAPUDI,1193,NP,39.36,8297,29952,7354,
32,RAJAHMANDRY,NTR,KONDAPALLI,1187,III,30.23,15865,63578,14703,
33,RAJAHMANDRY,WEST GODAVARI,BHIMAVARAM,1074,Selection,48.86,37848,142184,40739,
34,RAJAHMANDRY,KRISHNA,YSR TADIGADAPA,1192,I,30.73,46958,126190,48006,
35,RAJAHMANDRY,ELURU,ELURU,1075,Corp,64.54,55014,271651,71438,46.05
36,RAJAHMANDRY,KRISHNA,GUDIWADA,1068,Special,50.11,30808,139574,29384,
37,RAJAHMANDRY,WEST GODAVARI,TADEPALLIGUDEM,1080,Selection,51.71,27192,118891,27587,
38,RAJAHMANDRY,KAKINADA,YELESWARAM,1140,NP,14.96,7982,32084,7317,
39,RAJAHMANDRY,KAKINADA,PITHAPURAM,1063,II,19.59,14398,52360,15903,
40,RAJAHMANDRY,KAKINADA,GOLLAPROLU,1138,NP,15.81,6784,23882,6033,
41,RAJAHMANDRY,WEST GODAVARI,TANUKU,1081,I,25.34,24444,90430,24978,
42,RAJAHMANDRY,KONASEEMA,MUMMIDIVARAM,1139,NP,26,6339,25355,6278,
43,RAJAHMANDRY,ELURU,JANGAREDDYGUDEM,1142,II,24.78,12234,48994,19141,
44,RAJAHMANDRY,EAST GODAVARI,RAJAHMUNDRY,1064,Corp,25.86,94994,579802,87262,
45,RAJAHMANDRY,KAKINADA,TUNI,1067,II,7.82,14439,53425,13012,
46,RAJAHMANDRY,NTR,JAGGAIAHPET,1069,II,39.09,13373,53530,13901,
47,RAJAHMANDRY,KAKINADA,KAKINADA,1060,Corp,31.27,101014,325855,88788,20
48,RAJAHMANDRY,KAKINADA,PEDDAPURAM,1062,II,41.35,11500,49477,14355,
49,GUNTUR,ONGOLE,CHIMAKURTHY,1149,NP,28.45,7544,30279,7315,
